date;yield
01/01/2010;3.387
04/01/2010;3.391
05/01/2010;3.373
06/01/2010;3.381
07/01/2010;3.37
08/01/2010;3.385
11/01/2010;3.347
12/01/2010;3.313
13/01/2010;3.303
14/01/2010;3.298
15/01/2010;3.262
18/01/2010;3.248
19/01/2010;3.277
20/01/2010;3.223
21/01/2010;3.207
22/01/2010;3.215
25/01/2010;3.217
26/01/2010;3.207
27/01/2010;3.2
28/01/2010;3.201
29/01/2010;3.196
01/02/2010;3.186
02/02/2010;3.195
03/02/2010;3.223
04/02/2010;3.163
05/02/2010;3.12
08/02/2010;3.145
09/02/2010;3.152
10/02/2010;3.198
11/02/2010;3.234
12/02/2010;3.192
15/02/2010;3.204
16/02/2010;3.205
17/02/2010;3.194
18/02/2010;3.251
19/02/2010;3.285
22/02/2010;3.27
23/02/2010;3.167
24/02/2010;3.135
25/02/2010;3.11
26/02/2010;3.101
01/03/2010;3.108
02/03/2010;3.116
03/03/2010;3.138
04/03/2010;3.123
05/03/2010;3.156
08/03/2010;3.165
09/03/2010;3.132
10/03/2010;3.153
11/03/2010;3.179
12/03/2010;3.167
15/03/2010;3.155
16/03/2010;3.139
17/03/2010;3.111
18/03/2010;3.127
19/03/2010;3.109
22/03/2010;3.07
23/03/2010;3.056
24/03/2010;3.079
25/03/2010;3.152
26/03/2010;3.15
29/03/2010;3.132
30/03/2010;3.11
31/03/2010;3.092
01/04/2010;3.088
02/04/2010;3.088
05/04/2010;3.09
06/04/2010;3.143
07/04/2010;3.119
08/04/2010;3.096
09/04/2010;3.166
12/04/2010;3.177
13/04/2010;3.146
14/04/2010;3.138
15/04/2010;3.132
16/04/2010;3.084
19/04/2010;3.078
20/04/2010;3.098
21/04/2010;3.079
22/04/2010;3.052
23/04/2010;3.061
26/04/2010;3.046
27/04/2010;2.939
28/04/2010;3.037
29/04/2010;3.062
30/04/2010;3.017
03/05/2010;3.065
04/05/2010;2.949
05/05/2010;2.861
06/05/2010;2.793
07/05/2010;2.797
10/05/2010;2.955
11/05/2010;2.937
12/05/2010;2.942
13/05/2010;2.94
14/05/2010;2.86
17/05/2010;2.863
18/05/2010;2.831
19/05/2010;2.766
20/05/2010;2.685
21/05/2010;2.666
24/05/2010;2.655
25/05/2010;2.578
26/05/2010;2.645
27/05/2010;2.704
28/05/2010;2.682
31/05/2010;2.66
01/06/2010;2.675
02/06/2010;2.655
03/06/2010;2.676
04/06/2010;2.584
07/06/2010;2.563
08/06/2010;2.512
09/06/2010;2.567
10/06/2010;2.61
11/06/2010;2.566
14/06/2010;2.638
15/06/2010;2.674
16/06/2010;2.671
17/06/2010;2.663
18/06/2010;2.729
21/06/2010;2.766
22/06/2010;2.692
23/06/2010;2.647
24/06/2010;2.602
25/06/2010;2.611
28/06/2010;2.585
29/06/2010;2.559
30/06/2010;2.577
01/07/2010;2.566
02/07/2010;2.583
05/07/2010;2.543
06/07/2010;2.589
07/07/2010;2.598
08/07/2010;2.632
09/07/2010;2.634
12/07/2010;2.589
13/07/2010;2.641
14/07/2010;2.655
15/07/2010;2.653
16/07/2010;2.606
19/07/2010;2.65
20/07/2010;2.636
21/07/2010;2.638
22/07/2010;2.665
23/07/2010;2.706
26/07/2010;2.761
27/07/2010;2.77
28/07/2010;2.749
29/07/2010;2.717
30/07/2010;2.669
02/08/2010;2.698
03/08/2010;2.607
04/08/2010;2.604
05/08/2010;2.562
06/08/2010;2.519
09/08/2010;2.525
10/08/2010;2.537
11/08/2010;2.428
12/08/2010;2.421
13/08/2010;2.393
16/08/2010;2.33
17/08/2010;2.363
18/08/2010;2.347
19/08/2010;2.312
20/08/2010;2.271
23/08/2010;2.286
24/08/2010;2.18
25/08/2010;2.146
26/08/2010;2.157
27/08/2010;2.2
30/08/2010;2.135
31/08/2010;2.116
01/09/2010;2.224
02/09/2010;2.283
03/09/2010;2.354
06/09/2010;2.336
07/09/2010;2.255
08/09/2010;2.297
09/09/2010;2.336
10/09/2010;2.4
13/09/2010;2.427
14/09/2010;2.371
15/09/2010;2.404
16/09/2010;2.478
17/09/2010;2.427
20/09/2010;2.467
21/09/2010;2.453
22/09/2010;2.349
23/09/2010;2.285
24/09/2010;2.342
27/09/2010;2.269
28/09/2010;2.246
29/09/2010;2.24
30/09/2010;2.278
01/10/2010;2.286
04/10/2010;2.252
05/10/2010;2.279
06/10/2010;2.224
07/10/2010;2.262
08/10/2010;2.254
11/10/2010;2.272
12/10/2010;2.243
13/10/2010;2.282
14/10/2010;2.295
15/10/2010;2.371
18/10/2010;2.385
19/10/2010;2.414
20/10/2010;2.44
21/10/2010;2.484
22/10/2010;2.474
25/10/2010;2.45
26/10/2010;2.507
27/10/2010;2.565
28/10/2010;2.564
29/10/2010;2.518
01/11/2010;2.481
02/11/2010;2.47
03/11/2010;2.418
04/11/2010;2.396
05/11/2010;2.417
08/11/2010;2.39
09/11/2010;2.407
10/11/2010;2.441
11/11/2010;2.435
12/11/2010;2.512
15/11/2010;2.563
16/11/2010;2.622
17/11/2010;2.601
18/11/2010;2.704
19/11/2010;2.703
22/11/2010;2.65
23/11/2010;2.552
24/11/2010;2.711
25/11/2010;2.712
26/11/2010;2.734
29/11/2010;2.757
30/11/2010;2.67
01/12/2010;2.78
02/12/2010;2.819
03/12/2010;2.857
06/12/2010;2.853
07/12/2010;2.948
08/12/2010;3.014
09/12/2010;2.947
10/12/2010;2.954
13/12/2010;2.976
14/12/2010;3.026
15/12/2010;3.03
16/12/2010;3.065
17/12/2010;3.029
20/12/2010;2.967
21/12/2010;2.986
22/12/2010;2.952
23/12/2010;2.977
24/12/2010;2.982
27/12/2010;3.031
28/12/2010;2.976
29/12/2010;3.018
30/12/2010;2.959
31/12/2010;2.963
03/01/2011;2.922
04/01/2011;2.891
05/01/2011;2.938
06/01/2011;2.913
07/01/2011;2.869
10/01/2011;2.87
11/01/2011;2.925
12/01/2011;3.052
13/01/2011;3.044
14/01/2011;3.028
17/01/2011;3.038
18/01/2011;3.115
19/01/2011;3.105
20/01/2011;3.163
21/01/2011;3.176
24/01/2011;3.15
25/01/2011;3.144
26/01/2011;3.183
27/01/2011;3.205
28/01/2011;3.146
31/01/2011;3.153
01/02/2011;3.219
02/02/2011;3.257
03/02/2011;3.214
04/02/2011;3.259
07/02/2011;3.25
08/02/2011;3.253
09/02/2011;3.305
10/02/2011;3.299
11/02/2011;3.292
14/02/2011;3.294
15/02/2011;3.28
16/02/2011;3.235
17/02/2011;3.181
18/02/2011;3.252
21/02/2011;3.182
22/02/2011;3.144
23/02/2011;3.138
24/02/2011;3.129
25/02/2011;3.15
28/02/2011;3.169
01/03/2011;3.177
02/03/2011;3.195
03/03/2011;3.325
04/03/2011;3.272
07/03/2011;3.271
08/03/2011;3.304
09/03/2011;3.289
10/03/2011;3.248
11/03/2011;3.212
14/03/2011;3.225
15/03/2011;3.136
16/03/2011;3.089
17/03/2011;3.167
18/03/2011;3.187
21/03/2011;3.232
22/03/2011;3.256
23/03/2011;3.235
24/03/2011;3.243
25/03/2011;3.278
28/03/2011;3.289
29/03/2011;3.331
30/03/2011;3.338
31/03/2011;3.352
01/04/2011;3.371
04/04/2011;3.367
05/04/2011;3.391
06/04/2011;3.429
07/04/2011;3.42
08/04/2011;3.48
11/04/2011;3.489
12/04/2011;3.44
13/04/2011;3.434
14/04/2011;3.427
15/04/2011;3.377
18/04/2011;3.246
19/04/2011;3.274
20/04/2011;3.303
21/04/2011;3.259
22/04/2011;3.259
25/04/2011;3.259
26/04/2011;3.247
27/04/2011;3.29
28/04/2011;3.262
29/04/2011;3.238
02/05/2011;3.244
03/05/2011;3.277
04/05/2011;3.294
05/05/2011;3.213
06/05/2011;3.169
09/05/2011;3.102
10/05/2011;3.121
11/05/2011;3.127
12/05/2011;3.107
13/05/2011;3.076
16/05/2011;3.115
17/05/2011;3.092
18/05/2011;3.119
19/05/2011;3.112
20/05/2011;3.055
23/05/2011;3.013
24/05/2011;3.068
25/05/2011;3.047
26/05/2011;2.995
27/05/2011;2.984
30/05/2011;2.975
31/05/2011;3.019
01/06/2011;2.986
02/06/2011;2.989
03/06/2011;3.057
06/06/2011;3.023
07/06/2011;3.092
08/06/2011;3.053
09/06/2011;3.029
10/06/2011;2.96
13/06/2011;2.957
14/06/2011;3.013
15/06/2011;2.952
16/06/2011;2.915
17/06/2011;2.958
20/06/2011;2.963
21/06/2011;2.978
22/06/2011;2.941
23/06/2011;2.865
24/06/2011;2.833
27/06/2011;2.889
28/06/2011;2.932
29/06/2011;2.982
30/06/2011;3.023
01/07/2011;3.032
04/07/2011;3.018
05/07/2011;3.007
06/07/2011;2.932
07/07/2011;2.965
08/07/2011;2.828
11/07/2011;2.67
12/07/2011;2.709
13/07/2011;2.746
14/07/2011;2.736
15/07/2011;2.694
18/07/2011;2.646
19/07/2011;2.676
20/07/2011;2.765
21/07/2011;2.876
22/07/2011;2.826
25/07/2011;2.762
26/07/2011;2.738
27/07/2011;2.65
28/07/2011;2.632
29/07/2011;2.537
01/08/2011;2.452
02/08/2011;2.414
03/08/2011;2.401
04/08/2011;2.299
05/08/2011;2.345
08/08/2011;2.26
09/08/2011;2.363
10/08/2011;2.19
11/08/2011;2.314
12/08/2011;2.332
15/08/2011;2.324
16/08/2011;2.323
17/08/2011;2.201
18/08/2011;2.086
19/08/2011;2.103
22/08/2011;2.101
23/08/2011;2.126
24/08/2011;2.205
25/08/2011;2.183
26/08/2011;2.154
29/08/2011;2.224
30/08/2011;2.15
31/08/2011;2.217
01/09/2011;2.143
02/09/2011;2.006
05/09/2011;1.845
06/09/2011;1.846
07/09/2011;1.905
08/09/2011;1.868
09/09/2011;1.77
12/09/2011;1.741
13/09/2011;1.792
14/09/2011;1.876
15/09/2011;1.927
16/09/2011;1.861
19/09/2011;1.799
20/09/2011;1.789
21/09/2011;1.77
22/09/2011;1.673
23/09/2011;1.745
26/09/2011;1.827
27/09/2011;1.96
28/09/2011;2.01
29/09/2011;2.005
30/09/2011;1.885
03/10/2011;1.814
04/10/2011;1.724
05/10/2011;1.838
06/10/2011;1.94
07/10/2011;2
10/10/2011;2.081
11/10/2011;2.087
12/10/2011;2.188
13/10/2011;2.104
14/10/2011;2.197
17/10/2011;2.097
18/10/2011;2.011
19/10/2011;2.057
20/10/2011;1.996
21/10/2011;2.104
24/10/2011;2.12
25/10/2011;2.057
26/10/2011;2.036
27/10/2011;2.205
28/10/2011;2.176
31/10/2011;2.024
01/11/2011;1.767
02/11/2011;1.825
03/11/2011;1.911
04/11/2011;1.822
07/11/2011;1.778
08/11/2011;1.799
09/11/2011;1.719
10/11/2011;1.776
11/11/2011;1.886
14/11/2011;1.779
15/11/2011;1.78
16/11/2011;1.813
17/11/2011;1.89
18/11/2011;1.964
21/11/2011;1.913
22/11/2011;1.917
23/11/2011;2.145
24/11/2011;2.191
25/11/2011;2.26
28/11/2011;2.297
29/11/2011;2.327
30/11/2011;2.276
01/12/2011;2.175
02/12/2011;2.131
05/12/2011;2.2
06/12/2011;2.184
07/12/2011;2.1
08/12/2011;2.013
09/12/2011;2.146
12/12/2011;2.017
13/12/2011;2.024
14/12/2011;1.917
15/12/2011;1.942
16/12/2011;1.849
19/12/2011;1.878
20/12/2011;1.951
21/12/2011;1.931
22/12/2011;1.941
23/12/2011;1.957
26/12/2011;1.957
27/12/2011;1.917
28/12/2011;1.891
29/12/2011;1.839
30/12/2011;1.825
02/01/2012;1.902
03/01/2012;1.895
04/01/2012;1.921
05/01/2012;1.861
06/01/2012;1.851
09/01/2012;1.842
10/01/2012;1.881
11/01/2012;1.812
12/01/2012;1.832
13/01/2012;1.762
16/01/2012;1.767
17/01/2012;1.789
18/01/2012;1.782
19/01/2012;1.857
20/01/2012;1.927
23/01/2012;1.969
24/01/2012;1.991
25/01/2012;1.943
26/01/2012;1.869
27/01/2012;1.856
30/01/2012;1.791
31/01/2012;1.786
01/02/2012;1.85
02/02/2012;1.85
03/02/2012;1.931
06/02/2012;1.886
07/02/2012;1.962
08/02/2012;1.981
09/02/2012;2.015
10/02/2012;1.905
13/02/2012;1.93
14/02/2012;1.901
15/02/2012;1.86
16/02/2012;1.895
17/02/2012;1.923
20/02/2012;1.959
21/02/2012;1.98
22/02/2012;1.89
23/02/2012;1.882
24/02/2012;1.882
27/02/2012;1.828
28/02/2012;1.799
29/02/2012;1.817
01/03/2012;1.863
02/03/2012;1.799
05/03/2012;1.825
06/03/2012;1.776
07/03/2012;1.771
08/03/2012;1.797
09/03/2012;1.793
12/03/2012;1.756
13/03/2012;1.82
14/03/2012;1.953
15/03/2012;1.966
16/03/2012;2.049
19/03/2012;2.054
20/03/2012;2.039
21/03/2012;1.978
22/03/2012;1.91
23/03/2012;1.864
26/03/2012;1.952
27/03/2012;1.888
28/03/2012;1.831
29/03/2012;1.806
30/03/2012;1.792
02/04/2012;1.803
03/04/2012;1.802
04/04/2012;1.787
05/04/2012;1.734
06/04/2012;1.734
09/04/2012;1.734
10/04/2012;1.641
11/04/2012;1.778
12/04/2012;1.787
13/04/2012;1.733
16/04/2012;1.716
17/04/2012;1.749
18/04/2012;1.719
19/04/2012;1.691
20/04/2012;1.707
23/04/2012;1.643
24/04/2012;1.697
25/04/2012;1.74
26/04/2012;1.682
27/04/2012;1.697
30/04/2012;1.662
01/05/2012;1.662
02/05/2012;1.608
03/05/2012;1.611
04/05/2012;1.583
07/05/2012;1.603
08/05/2012;1.541
09/05/2012;1.516
10/05/2012;1.538
11/05/2012;1.515
14/05/2012;1.456
15/05/2012;1.469
16/05/2012;1.468
17/05/2012;1.411
18/05/2012;1.424
21/05/2012;1.43
22/05/2012;1.467
23/05/2012;1.383
24/05/2012;1.39
25/05/2012;1.368
28/05/2012;1.363
29/05/2012;1.358
30/05/2012;1.267
31/05/2012;1.199
01/06/2012;1.172
04/06/2012;1.207
05/06/2012;1.206
06/06/2012;1.334
07/06/2012;1.373
08/06/2012;1.328
11/06/2012;1.304
12/06/2012;1.424
13/06/2012;1.487
14/06/2012;1.486
15/06/2012;1.436
18/06/2012;1.41
19/06/2012;1.528
20/06/2012;1.613
21/06/2012;1.533
22/06/2012;1.58
25/06/2012;1.462
26/06/2012;1.504
27/06/2012;1.566
28/06/2012;1.512
29/06/2012;1.581
02/07/2012;1.518
03/07/2012;1.531
04/07/2012;1.452
05/07/2012;1.381
06/07/2012;1.326
09/07/2012;1.32
10/07/2012;1.319
11/07/2012;1.27
12/07/2012;1.248
13/07/2012;1.258
16/07/2012;1.231
17/07/2012;1.231
18/07/2012;1.198
19/07/2012;1.216
20/07/2012;1.166
23/07/2012;1.174
24/07/2012;1.235
25/07/2012;1.261
26/07/2012;1.32
27/07/2012;1.397
30/07/2012;1.374
31/07/2012;1.284
01/08/2012;1.367
02/08/2012;1.225
03/08/2012;1.422
06/08/2012;1.394
07/08/2012;1.483
08/08/2012;1.42
09/08/2012;1.433
10/08/2012;1.384
13/08/2012;1.401
14/08/2012;1.467
15/08/2012;1.562
16/08/2012;1.525
17/08/2012;1.494
20/08/2012;1.508
21/08/2012;1.556
22/08/2012;1.46
23/08/2012;1.376
24/08/2012;1.353
27/08/2012;1.351
28/08/2012;1.34
29/08/2012;1.38
30/08/2012;1.321
31/08/2012;1.333
03/09/2012;1.377
04/09/2012;1.39
05/09/2012;1.478
06/09/2012;1.558
07/09/2012;1.518
10/09/2012;1.546
11/09/2012;1.542
12/09/2012;1.616
13/09/2012;1.553
14/09/2012;1.705
17/09/2012;1.671
18/09/2012;1.636
19/09/2012;1.621
20/09/2012;1.573
21/09/2012;1.596
24/09/2012;1.558
25/09/2012;1.583
26/09/2012;1.455
27/09/2012;1.457
28/09/2012;1.441
01/10/2012;1.449
02/10/2012;1.455
03/10/2012;1.446
04/10/2012;1.446
05/10/2012;1.52
08/10/2012;1.474
09/10/2012;1.473
10/10/2012;1.489
11/10/2012;1.501
12/10/2012;1.444
15/10/2012;1.472
16/10/2012;1.543
17/10/2012;1.633
18/10/2012;1.632
19/10/2012;1.593
22/10/2012;1.617
23/10/2012;1.571
24/10/2012;1.555
25/10/2012;1.582
26/10/2012;1.536
29/10/2012;1.457
30/10/2012;1.478
31/10/2012;1.462
01/11/2012;1.454
02/11/2012;1.449
05/11/2012;1.427
06/11/2012;1.438
07/11/2012;1.379
08/11/2012;1.363
09/11/2012;1.347
12/11/2012;1.343
13/11/2012;1.338
14/11/2012;1.341
15/11/2012;1.338
16/11/2012;1.33
19/11/2012;1.355
20/11/2012;1.417
21/11/2012;1.43
22/11/2012;1.43
23/11/2012;1.435
26/11/2012;1.413
27/11/2012;1.439
28/11/2012;1.368
29/11/2012;1.366
30/11/2012;1.385
03/12/2012;1.409
04/12/2012;1.393
05/12/2012;1.347
06/12/2012;1.295
07/12/2012;1.294
10/12/2012;1.305
11/12/2012;1.318
12/12/2012;1.334
13/12/2012;1.352
14/12/2012;1.347
17/12/2012;1.372
18/12/2012;1.41
19/12/2012;1.429
20/12/2012;1.416
21/12/2012;1.375
27/12/2012;1.314
28/12/2012;1.308
31/12/2012;1.314
01/01/2013;1.314
02/01/2013;1.441
03/01/2013;1.478
04/01/2013;1.535
07/01/2013;1.515
08/01/2013;1.49
09/01/2013;1.476
10/01/2013;1.56
11/01/2013;1.582
14/01/2013;1.55
15/01/2013;1.576
16/01/2013;1.565
17/01/2013;1.607
18/01/2013;1.554
21/01/2013;1.593
22/01/2013;1.572
23/01/2013;1.543
24/01/2013;1.571
25/01/2013;1.636
28/01/2013;1.692
29/01/2013;1.69
30/01/2013;1.71
31/01/2013;1.679
01/02/2013;1.672
04/02/2013;1.611
05/02/2013;1.65
06/02/2013;1.63
07/02/2013;1.604
08/02/2013;1.609
11/02/2013;1.609
12/02/2013;1.629
13/02/2013;1.671
14/02/2013;1.642
15/02/2013;1.652
18/02/2013;1.629
19/02/2013;1.621
20/02/2013;1.653
21/02/2013;1.573
22/02/2013;1.567
25/02/2013;1.555
26/02/2013;1.452
27/02/2013;1.451
28/02/2013;1.453
01/03/2013;1.41
04/03/2013;1.418
05/03/2013;1.449
06/03/2013;1.456
07/03/2013;1.491
08/03/2013;1.524
11/03/2013;1.516
12/03/2013;1.48
13/03/2013;1.48
14/03/2013;1.472
15/03/2013;1.454
18/03/2013;1.406
19/03/2013;1.346
20/03/2013;1.386
21/03/2013;1.365
22/03/2013;1.378
25/03/2013;1.326
26/03/2013;1.344
27/03/2013;1.269
28/03/2013;1.288
29/03/2013;1.288
01/04/2013;1.288
02/04/2013;1.306
03/04/2013;1.287
04/04/2013;1.238
05/04/2013;1.211
08/04/2013;1.236
09/04/2013;1.26
10/04/2013;1.303
11/04/2013;1.301
12/04/2013;1.26
15/04/2013;1.244
16/04/2013;1.276
17/04/2013;1.228
18/04/2013;1.225
19/04/2013;1.25
22/04/2013;1.231
23/04/2013;1.26
24/04/2013;1.238
25/04/2013;1.237
26/04/2013;1.205
29/04/2013;1.203
30/04/2013;1.215
01/05/2013;1.206
02/05/2013;1.165
03/05/2013;1.239
06/05/2013;1.243
07/05/2013;1.298
08/05/2013;1.269
09/05/2013;1.269
10/05/2013;1.379
13/05/2013;1.355
14/05/2013;1.373
15/05/2013;1.382
16/05/2013;1.33
17/05/2013;1.325
20/05/2013;1.376
21/05/2013;1.39
22/05/2013;1.426
23/05/2013;1.443
24/05/2013;1.43
27/05/2013;1.456
28/05/2013;1.497
29/05/2013;1.532
30/05/2013;1.516
31/05/2013;1.504
03/06/2013;1.521
04/06/2013;1.542
05/06/2013;1.51
06/06/2013;1.52
07/06/2013;1.545
10/06/2013;1.6
11/06/2013;1.6
12/06/2013;1.584
13/06/2013;1.561
14/06/2013;1.513
17/06/2013;1.52
18/06/2013;1.569
19/06/2013;1.557
20/06/2013;1.664
21/06/2013;1.724
24/06/2013;1.811
25/06/2013;1.803
26/06/2013;1.766
27/06/2013;1.724
28/06/2013;1.728
01/07/2013;1.719
02/07/2013;1.703
03/07/2013;1.659
04/07/2013;1.647
05/07/2013;1.718
08/07/2013;1.697
09/07/2013;1.653
10/07/2013;1.657
11/07/2013;1.622
12/07/2013;1.559
15/07/2013;1.577
16/07/2013;1.55
17/07/2013;1.542
18/07/2013;1.518
19/07/2013;1.518
22/07/2013;1.514
23/07/2013;1.55
24/07/2013;1.645
25/07/2013;1.67
26/07/2013;1.665
29/07/2013;1.663
30/07/2013;1.667
31/07/2013;1.669
01/08/2013;1.666
02/08/2013;1.65
05/08/2013;1.686
06/08/2013;1.701
07/08/2013;1.686
08/08/2013;1.686
09/08/2013;1.679
12/08/2013;1.701
13/08/2013;1.807
14/08/2013;1.821
15/08/2013;1.882
16/08/2013;1.88
19/08/2013;1.896
20/08/2013;1.84
21/08/2013;1.87
22/08/2013;1.919
23/08/2013;1.934
26/08/2013;1.893
27/08/2013;1.846
28/08/2013;1.875
29/08/2013;1.855
30/08/2013;1.855
02/09/2013;1.904
03/09/2013;1.94
04/09/2013;1.94
05/09/2013;2.041
06/09/2013;1.949
09/09/2013;1.959
10/09/2013;2.026
11/09/2013;2.045
12/09/2013;1.999
13/09/2013;1.975
16/09/2013;1.937
17/09/2013;1.963
18/09/2013;2
19/09/2013;1.92
20/09/2013;1.942
23/09/2013;1.917
24/09/2013;1.845
25/09/2013;1.822
26/09/2013;1.83
27/09/2013;1.777
30/09/2013;1.778
01/10/2013;1.804
02/10/2013;1.81
03/10/2013;1.792
04/10/2013;1.84
07/10/2013;1.802
08/10/2013;1.81
09/10/2013;1.811
10/10/2013;1.868
11/10/2013;1.863
14/10/2013;1.858
15/10/2013;1.913
16/10/2013;1.928
17/10/2013;1.867
18/10/2013;1.831
21/10/2013;1.847
22/10/2013;1.795
23/10/2013;1.766
24/10/2013;1.764
25/10/2013;1.755
28/10/2013;1.749
29/10/2013;1.74
30/10/2013;1.687
31/10/2013;1.673
01/11/2013;1.691
04/11/2013;1.676
05/11/2013;1.742
06/11/2013;1.74
07/11/2013;1.684
08/11/2013;1.757
11/11/2013;1.753
12/11/2013;1.789
13/11/2013;1.735
14/11/2013;1.7
15/11/2013;1.705
18/11/2013;1.68
19/11/2013;1.719
20/11/2013;1.714
21/11/2013;1.74
22/11/2013;1.746
25/11/2013;1.722
26/11/2013;1.686
27/11/2013;1.716
28/11/2013;1.694
29/11/2013;1.692
02/12/2013;1.743
03/12/2013;1.724
04/12/2013;1.814
05/12/2013;1.86
06/12/2013;1.841
09/12/2013;1.838
10/12/2013;1.834
11/12/2013;1.813
12/12/2013;1.838
13/12/2013;1.827
16/12/2013;1.834
17/12/2013;1.826
18/12/2013;1.846
19/12/2013;1.871
20/12/2013;1.869
23/12/2013;1.88
24/12/2013;1.89
25/12/2013;1.89
26/12/2013;1.89
27/12/2013;1.954
30/12/2013;1.929
31/12/2013;1.925
01/01/2014;1.925
02/01/2014;1.94
03/01/2014;1.942
06/01/2014;1.906
07/01/2014;1.885
08/01/2014;1.903
09/01/2014;1.914
10/01/2014;1.842
13/01/2014;1.816
14/01/2014;1.813
15/01/2014;1.824
16/01/2014;1.779
17/01/2014;1.752
20/01/2014;1.74
21/01/2014;1.738
22/01/2014;1.756
23/01/2014;1.708
24/01/2014;1.657
27/01/2014;1.664
28/01/2014;1.676
29/01/2014;1.74
30/01/2014;1.714
31/01/2014;1.658
03/02/2014;1.643
04/02/2014;1.649
05/02/2014;1.635
06/02/2014;1.694
07/02/2014;1.66
10/02/2014;1.678
11/02/2014;1.685
12/02/2014;1.714
13/02/2014;1.666
14/02/2014;1.678
17/02/2014;1.683
18/02/2014;1.666
19/02/2014;1.66
20/02/2014;1.689
21/02/2014;1.661
24/02/2014;1.678
25/02/2014;1.645
26/02/2014;1.616
27/02/2014;1.562
28/02/2014;1.623
03/03/2014;1.55
04/03/2014;1.597
05/03/2014;1.604
06/03/2014;1.646
07/03/2014;1.652
10/03/2014;1.624
11/03/2014;1.637
12/03/2014;1.595
13/03/2014;1.54
14/03/2014;1.545
17/03/2014;1.566
18/03/2014;1.566
19/03/2014;1.598
20/03/2014;1.645
21/03/2014;1.63
24/03/2014;1.577
25/03/2014;1.576
26/03/2014;1.567
27/03/2014;1.535
28/03/2014;1.548
31/03/2014;1.565
01/04/2014;1.572
02/04/2014;1.615
03/04/2014;1.602
04/04/2014;1.552
07/04/2014;1.538
08/04/2014;1.556
09/04/2014;1.574
10/04/2014;1.52
11/04/2014;1.502
14/04/2014;1.525
15/04/2014;1.471
16/04/2014;1.484
17/04/2014;1.514
18/04/2014;1.514
21/04/2014;1.514
22/04/2014;1.533
23/04/2014;1.521
24/04/2014;1.529
25/04/2014;1.483
28/04/2014;1.496
29/04/2014;1.498
30/04/2014;1.468
01/05/2014;1.468
02/05/2014;1.449
05/05/2014;1.457
06/05/2014;1.459
07/05/2014;1.472
08/05/2014;1.445
09/05/2014;1.454
12/05/2014;1.463
13/05/2014;1.42
14/05/2014;1.367
15/05/2014;1.305
16/05/2014;1.329
19/05/2014;1.342
20/05/2014;1.35
21/05/2014;1.423
22/05/2014;1.407
23/05/2014;1.412
26/05/2014;1.415
27/05/2014;1.388
28/05/2014;1.337
29/05/2014;1.353
30/05/2014;1.357
02/06/2014;1.368
03/06/2014;1.407
04/06/2014;1.431
05/06/2014;1.403
06/06/2014;1.351
09/06/2014;1.378
10/06/2014;1.403
11/06/2014;1.396
12/06/2014;1.386
13/06/2014;1.361
16/06/2014;1.353
17/06/2014;1.399
18/06/2014;1.374
19/06/2014;1.321
20/06/2014;1.343
23/06/2014;1.322
24/06/2014;1.319
25/06/2014;1.26
26/06/2014;1.244
27/06/2014;1.261
30/06/2014;1.244
01/07/2014;1.246
02/07/2014;1.286
03/07/2014;1.288
04/07/2014;1.264
07/07/2014;1.255
08/07/2014;1.218
09/07/2014;1.227
10/07/2014;1.198
11/07/2014;1.202
14/07/2014;1.208
15/07/2014;1.203
16/07/2014;1.191
17/07/2014;1.148
18/07/2014;1.154
21/07/2014;1.147
22/07/2014;1.165
23/07/2014;1.145
24/07/2014;1.176
25/07/2014;1.146
28/07/2014;1.147
29/07/2014;1.119
30/07/2014;1.169
31/07/2014;1.154
01/08/2014;1.13
04/08/2014;1.134
05/08/2014;1.167
06/08/2014;1.1
07/08/2014;1.061
08/08/2014;1.052
11/08/2014;1.058
12/08/2014;1.058
13/08/2014;1.026
14/08/2014;1.017
15/08/2014;0.952
18/08/2014;1.013
19/08/2014;1
20/08/2014;0.989
21/08/2014;0.992
22/08/2014;0.981
25/08/2014;0.947
26/08/2014;0.938
27/08/2014;0.909
28/08/2014;0.883
29/08/2014;0.89
01/09/2014;0.881
02/09/2014;0.93
03/09/2014;0.954
04/09/2014;0.969
05/09/2014;0.928
08/09/2014;0.952
09/09/2014;0.996
10/09/2014;1.046
11/09/2014;1.039
12/09/2014;1.082
15/09/2014;1.066
16/09/2014;1.06
17/09/2014;1.049
18/09/2014;1.081
19/09/2014;1.042
22/09/2014;1.01
23/09/2014;1.012
24/09/2014;1.003
25/09/2014;0.972
26/09/2014;0.971
29/09/2014;0.963
30/09/2014;0.946
01/10/2014;0.901
02/10/2014;0.902
03/10/2014;0.925
06/10/2014;0.906
07/10/2014;0.905
08/10/2014;0.907
09/10/2014;0.905
10/10/2014;0.886
13/10/2014;0.894
14/10/2014;0.837
15/10/2014;0.755
16/10/2014;0.819
17/10/2014;0.858
20/10/2014;0.848
21/10/2014;0.87
22/10/2014;0.87
23/10/2014;0.901
24/10/2014;0.891
27/10/2014;0.868
28/10/2014;0.876
29/10/2014;0.897
30/10/2014;0.844
31/10/2014;0.84
03/11/2014;0.852
04/11/2014;0.806
05/11/2014;0.826
06/11/2014;0.826
07/11/2014;0.816
10/11/2014;0.834
11/11/2014;0.826
12/11/2014;0.809
13/11/2014;0.798
14/11/2014;0.784
17/11/2014;0.801
18/11/2014;0.796
19/11/2014;0.848
20/11/2014;0.798
