date;dem_yield2;dem_yield5;dem_yield10;dem_yield30;us_yield2;us_yield5;us_yield10;us_yield30;;;;
01/01/2010;1.332;2.423;3.387;4.112;1.1356;2.6788;3.835;4.6281;;;;
04/01/2010;1.347;2.426;3.391;4.079;1.0638;2.635;3.8155;4.6431;;;;
05/01/2010;1.286;2.391;3.373;4.083;1.008;2.5611;3.7608;4.6091;;;;
06/01/2010;1.294;2.412;3.381;4.115;0.992;2.5913;3.8215;4.6875;;;;
07/01/2010;1.264;2.388;3.37;4.107;1.024;2.6115;3.8235;4.6855;;;;
08/01/2010;1.244;2.39;3.385;4.111;0.9759;2.5912;3.8297;4.715;;;;
11/01/2010;1.225;2.361;3.347;4.103;0.9357;2.5575;3.818;4.7314;;;;
12/01/2010;1.21;2.331;3.313;4.075;0.9034;2.4735;3.7108;4.6171;;;;
13/01/2010;1.198;2.419;3.303;4.086;0.9597;2.5372;3.7908;4.712;;;;
14/01/2010;1.179;2.401;3.298;4.069;0.9193;2.4935;3.7382;4.6271;;;;
15/01/2010;1.135;2.361;3.262;4.028;0.8621;2.4159;3.6744;4.5814;;;;
18/01/2010;1.141;2.359;3.248;4.019;0.8619;2.4158;3.6745;4.5814;;;;
19/01/2010;1.178;2.391;3.277;4.041;0.8862;2.446;3.6919;4.5873;;;;
20/01/2010;1.134;2.323;3.223;4.017;0.8698;2.4123;3.6474;4.5342;;;;
21/01/2010;1.12;2.3;3.207;4.009;0.829;2.3419;3.5858;4.4932;;;;
22/01/2010;1.112;2.294;3.215;4.008;0.7875;2.3414;3.6071;4.5312;;;;
25/01/2010;1.11;2.295;3.217;4.01;0.8117;2.3614;3.6265;4.5469;;;;
26/01/2010;1.119;2.288;3.207;3.987;0.8033;2.3411;3.6188;4.5528;;;;
27/01/2010;1.131;2.287;3.2;3.959;0.9146;2.3913;3.6479;4.5627;;;;
28/01/2010;1.12;2.277;3.201;3.949;0.8592;2.3867;3.6344;4.5489;;;;
29/01/2010;1.119;2.276;3.196;3.925;0.8118;2.3232;3.5844;4.4884;;;;
01/02/2010;1.122;2.274;3.186;3.919;0.8512;2.3734;3.6501;4.5617;;;;
02/02/2010;1.127;2.281;3.195;3.929;0.8512;2.3601;3.6405;4.5588;;;;
03/02/2010;1.137;2.305;3.223;3.965;0.875;2.4037;3.7047;4.6383;;;;
04/02/2010;1.064;2.227;3.163;3.917;0.8035;2.3;3.6058;4.5499;;;;
05/02/2010;0.989;2.161;3.12;3.845;0.7633;2.2333;3.5654;4.5186;;;;
08/02/2010;0.996;2.176;3.145;3.836;0.7632;2.2266;3.5597;4.4972;;;;
09/02/2010;1.036;2.209;3.152;3.868;0.827;2.3135;3.6448;4.5835;;;;
10/02/2010;1.042;2.243;3.198;3.914;0.875;2.3639;3.6897;4.6364;;;;
11/02/2010;1.048;2.28;3.234;3.934;0.8669;2.3639;3.7155;4.6646;;;;
12/02/2010;0.983;2.218;3.192;3.917;0.8265;2.3304;3.6928;4.6463;;;;
